Unnamed: 0,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Medication,Description
518,hypertension, headache, dizziness, loss_of_balance, lack_of_concentration,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
519,hypertension, headache, chest_pain, loss_of_balance, lack_of_concentration,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']","Hypertension, or high blood pressure, is a common cardiovascular condition."
520,migraine, acidity, indigestion, headache, blurred_and_distorted_vision,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
521,migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
522,migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
523,migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
524,migraine, acidity, indigestion, headache, excessive_hunger,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
525,migraine, acidity, indigestion, headache, blurred_and_distorted_vision,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
526,migraine, acidity, indigestion, headache, blurred_and_distorted_vision,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
527,migraine, acidity, indigestion, headache, blurred_and_distorted_vision,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
528,migraine, acidity, indigestion, headache, blurred_and_distorted_vision,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
529,migraine, acidity, indigestion, headache, blurred_and_distorted_vision,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
530,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
531,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
532,cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
533,cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
534,cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
535,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
536,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
537,cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
538,cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
539,cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",Cervical spondylosis is a degenerative condition of the cervical spine.
540,paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
541,paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
542,paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
543,paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
544,paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
545,paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
546,paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
547,paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
548,paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
549,paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
550,jaundice,itching, vomiting, fatigue, weight_loss,"['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']","Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems."
551,jaundice,itching, vomiting, fatigue, weight_loss,"['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']","Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems."
552,jaundice, vomiting, fatigue, weight_loss, high_fever,"['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']","Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems."
553,jaundice,itching, fatigue, weight_loss, high_fever,"['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']","Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems."
554,jaundice,itching, vomiting, weight_loss, high_fever,"['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']","Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems."
555,jaundice,itching, vomiting, fatigue, high_fever,"['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']","Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems."
556,jaundice,itching, vomiting, fatigue, weight_loss,"['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']","Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems."
557,jaundice,itching, vomiting, fatigue, weight_loss,"['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']","Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems."
558,jaundice,itching, vomiting, fatigue, weight_loss,"['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']","Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems."
559,jaundice,itching, vomiting, fatigue, weight_loss,"['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']","Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems."
560,malaria, chills, vomiting, high_fever, sweating,"['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",Malaria is a mosquito-borne infectious disease affecting humans and other animals.
561,malaria, chills, vomiting, high_fever, sweating,"['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",Malaria is a mosquito-borne infectious disease affecting humans and other animals.
562,malaria, chills, vomiting, high_fever, sweating,"['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",Malaria is a mosquito-borne infectious disease affecting humans and other animals.
563,malaria, vomiting, high_fever, sweating, headache,"['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",Malaria is a mosquito-borne infectious disease affecting humans and other animals.
564,malaria, chills, high_fever, sweating, headache,"['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",Malaria is a mosquito-borne infectious disease affecting humans and other animals.
565,malaria, chills, vomiting, sweating, headache,"['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",Malaria is a mosquito-borne infectious disease affecting humans and other animals.
566,malaria, chills, vomiting, high_fever, headache,"['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",Malaria is a mosquito-borne infectious disease affecting humans and other animals.
567,malaria, chills, vomiting, high_fever, sweating,"['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",Malaria is a mosquito-borne infectious disease affecting humans and other animals.
568,malaria, chills, vomiting, high_fever, sweating,"['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",Malaria is a mosquito-borne infectious disease affecting humans and other animals.
569,malaria, chills, vomiting, high_fever, sweating,"['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",Malaria is a mosquito-borne infectious disease affecting humans and other animals.
570,chicken pox,itching, skin_rash, fatigue, lethargy,"['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",Chicken pox is a highly contagious viral infection causing an itchy rash.
571,chicken pox, skin_rash, fatigue, lethargy, high_fever,"['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",Chicken pox is a highly contagious viral infection causing an itchy rash.
572,chicken pox,itching, fatigue, lethargy, high_fever,"['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",Chicken pox is a highly contagious viral infection causing an itchy rash.
573,chicken pox,itching, skin_rash, lethargy, high_fever,"['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",Chicken pox is a highly contagious viral infection causing an itchy rash.
574,chicken pox,itching, skin_rash, fatigue, high_fever,"['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",Chicken pox is a highly contagious viral infection causing an itchy rash.
575,chicken pox,itching, skin_rash, fatigue, lethargy,"['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",Chicken pox is a highly contagious viral infection causing an itchy rash.
576,chicken pox,itching, skin_rash, fatigue, lethargy,"['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",Chicken pox is a highly contagious viral infection causing an itchy rash.
577,chicken pox,itching, skin_rash, fatigue, lethargy,"['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",Chicken pox is a highly contagious viral infection causing an itchy rash.
578,chicken pox,itching, skin_rash, fatigue, lethargy,"['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",Chicken pox is a highly contagious viral infection causing an itchy rash.
579,chicken pox,itching, skin_rash, fatigue, lethargy,"['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",Chicken pox is a highly contagious viral infection causing an itchy rash.
580,dengue, skin_rash, chills, joint_pain, vomiting,"['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']",Dengue is a mosquito-borne viral infection causing flu-like symptoms.
581,dengue, skin_rash, chills, joint_pain, vomiting,"['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']",Dengue is a mosquito-borne viral infection causing flu-like symptoms.
582,dengue, skin_rash, chills, joint_pain, vomiting,"['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']",Dengue is a mosquito-borne viral infection causing flu-like symptoms.
583,dengue, skin_rash, chills, joint_pain, vomiting,"['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']",Dengue is a mosquito-borne viral infection causing flu-like symptoms.
584,dengue, chills, joint_pain, vomiting, fatigue,"['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']",Dengue is a mosquito-borne viral infection causing flu-like symptoms.
585,dengue, skin_rash, joint_pain, vomiting, fatigue,"['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']",Dengue is a mosquito-borne viral infection causing flu-like symptoms.
586,dengue, skin_rash, chills, vomiting, fatigue,"['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']",Dengue is a mosquito-borne viral infection causing flu-like symptoms.
587,dengue, skin_rash, chills, joint_pain, fatigue,"['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']",Dengue is a mosquito-borne viral infection causing flu-like symptoms.
588,dengue, skin_rash, chills, joint_pain, vomiting,"['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']",Dengue is a mosquito-borne viral infection causing flu-like symptoms.
589,dengue, skin_rash, chills, joint_pain, vomiting,"['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']",Dengue is a mosquito-borne viral infection causing flu-like symptoms.
590,typhoid, chills, vomiting, fatigue, high_fever,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.
591,typhoid, chills, vomiting, fatigue, high_fever,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.
592,typhoid, chills, vomiting, fatigue, high_fever,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.
593,typhoid, chills, vomiting, fatigue, high_fever,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.
594,typhoid, chills, vomiting, fatigue, high_fever,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.
595,typhoid, chills, vomiting, fatigue, high_fever,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.
596,typhoid, chills, vomiting, fatigue, high_fever,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.
597,typhoid, chills, vomiting, fatigue, high_fever,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.
598,typhoid, chills, vomiting, fatigue, high_fever,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.
599,typhoid, chills, fatigue, high_fever, headache,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.
600,hepatitis a, joint_pain, vomiting, yellowish_skin, dark_urine,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",hepatitis A is a viral liver disease.
601,hepatitis a, joint_pain, vomiting, yellowish_skin, dark_urine,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",hepatitis A is a viral liver disease.
602,hepatitis a, vomiting, yellowish_skin, dark_urine, nausea,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",hepatitis A is a viral liver disease.
603,hepatitis a, joint_pain, yellowish_skin, dark_urine, nausea,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",hepatitis A is a viral liver disease.
604,hepatitis a, joint_pain, vomiting, dark_urine, nausea,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",hepatitis A is a viral liver disease.
605,hepatitis a, joint_pain, vomiting, yellowish_skin, nausea,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",hepatitis A is a viral liver disease.
606,hepatitis a, joint_pain, vomiting, yellowish_skin, dark_urine,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",hepatitis A is a viral liver disease.
607,hepatitis a, joint_pain, vomiting, yellowish_skin, dark_urine,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",hepatitis A is a viral liver disease.
608,hepatitis a, joint_pain, vomiting, yellowish_skin, dark_urine,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",hepatitis A is a viral liver disease.
609,hepatitis a, joint_pain, vomiting, yellowish_skin, dark_urine,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']",hepatitis A is a viral liver disease.
610,hepatitis b,itching, fatigue, lethargy, yellowish_skin,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis B is a viral infection that attacks the liver.
611,hepatitis b,itching, fatigue, lethargy, yellowish_skin,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis B is a viral infection that attacks the liver.
612,hepatitis b, fatigue, lethargy, yellowish_skin, dark_urine,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis B is a viral infection that attacks the liver.
613,hepatitis b,itching, lethargy, yellowish_skin, dark_urine,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis B is a viral infection that attacks the liver.
614,hepatitis b,itching, fatigue, yellowish_skin, dark_urine,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis B is a viral infection that attacks the liver.
615,hepatitis b,itching, fatigue, lethargy, dark_urine,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis B is a viral infection that attacks the liver.
616,hepatitis b,itching, fatigue, lethargy, yellowish_skin,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis B is a viral infection that attacks the liver.
617,hepatitis b,itching, fatigue, lethargy, yellowish_skin,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis B is a viral infection that attacks the liver.
618,hepatitis b,itching, fatigue, lethargy, yellowish_skin,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis B is a viral infection that attacks the liver.
619,hepatitis b,itching, fatigue, lethargy, yellowish_skin,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis B is a viral infection that attacks the liver.
620,hepatitis c, fatigue, yellowish_skin, nausea, loss_of_appetite,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis C is a viral infection that causes liver inflammation.
621,hepatitis c, fatigue, yellowish_skin, nausea, loss_of_appetite,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis C is a viral infection that causes liver inflammation.
622,hepatitis c, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis C is a viral infection that causes liver inflammation.
623,hepatitis c, fatigue, nausea, loss_of_appetite, yellowing_of_eyes,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis C is a viral infection that causes liver inflammation.
624,hepatitis c, fatigue, yellowish_skin, loss_of_appetite, yellowing_of_eyes,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis C is a viral infection that causes liver inflammation.
625,hepatitis c, fatigue, yellowish_skin, nausea, yellowing_of_eyes,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis C is a viral infection that causes liver inflammation.
626,hepatitis c, fatigue, yellowish_skin, nausea, loss_of_appetite,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis C is a viral infection that causes liver inflammation.
627,hepatitis c, fatigue, yellowish_skin, nausea, loss_of_appetite,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis C is a viral infection that causes liver inflammation.
628,hepatitis c, fatigue, yellowish_skin, nausea, loss_of_appetite,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis C is a viral infection that causes liver inflammation.
629,hepatitis c, fatigue, yellowish_skin, nausea, loss_of_appetite,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis C is a viral infection that causes liver inflammation.
630,hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis D is a serious liver disease caused by the hepatitis D virus.
631,hepatitis d, vomiting, fatigue, yellowish_skin, dark_urine,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis D is a serious liver disease caused by the hepatitis D virus.
632,hepatitis d, joint_pain, fatigue, yellowish_skin, dark_urine,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis D is a serious liver disease caused by the hepatitis D virus.
633,hepatitis d, joint_pain, vomiting, yellowish_skin, dark_urine,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis D is a serious liver disease caused by the hepatitis D virus.
634,hepatitis d, joint_pain, vomiting, fatigue, dark_urine,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis D is a serious liver disease caused by the hepatitis D virus.
635,hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis D is a serious liver disease caused by the hepatitis D virus.
636,hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis D is a serious liver disease caused by the hepatitis D virus.
637,hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis D is a serious liver disease caused by the hepatitis D virus.
638,hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis D is a serious liver disease caused by the hepatitis D virus.
639,hepatitis d, joint_pain, vomiting, fatigue, yellowish_skin,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']",Hepatitis D is a serious liver disease caused by the hepatitis D virus.
640,hepatitis e, joint_pain, vomiting, fatigue, high_fever,"['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",Hepatitis E is a viral infection that causes liver inflammation.
641,hepatitis e, joint_pain, vomiting, fatigue, high_fever,"['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",Hepatitis E is a viral infection that causes liver inflammation.
642,hepatitis e, joint_pain, vomiting, fatigue, high_fever,"['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",Hepatitis E is a viral infection that causes liver inflammation.
643,hepatitis e, vomiting, fatigue, high_fever, yellowish_skin,"['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",Hepatitis E is a viral infection that causes liver inflammation.
644,hepatitis e, joint_pain, fatigue, high_fever, yellowish_skin,"['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",Hepatitis E is a viral infection that causes liver inflammation.
645,hepatitis e, joint_pain, vomiting, high_fever, yellowish_skin,"['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",Hepatitis E is a viral infection that causes liver inflammation.
646,hepatitis e, joint_pain, vomiting, fatigue, yellowish_skin,"['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']",Hepatitis E is a viral infection that causes liver inflammation.
